BioSample Accession	Isolate Name
SAMN05222224	20154985
SAMN05222225	20154986
SAMN05222226	20154987
SAMN05222227	20154988
SAMN05222228	20154989
SAMN05222229	20154990
SAMN05222230	20154991
SAMN05222231	20154992
SAMN05222232	20154993
SAMN05222233	20154994
SAMN05222234	20154995
SAMN05222235	20154996
SAMN05222236	20154997
SAMN05222237	20154998
SAMN05222238	20154999
SAMN05222239	20155000
SAMN05222240	20155001
SAMN05222241	20155002
SAMN05222242	20155003
SAMN05222243	20155004
SAMN05222244	20155005
SAMN05222245	20155006
SAMN05222246	20155007
SAMN05222247	20155008
SAMN05222248	20155009
SAMN05222249	20155010
SAMN05222250	20155011
SAMN05222251	20155012
SAMN05222252	20155013
SAMN05222253	20155014
SAMN05222254	20155166
SAMN05222255	20155167
SAMN05222256	20155168
SAMN05222257	20155169
SAMN05222258	20155170
SAMN05222259	20155171
SAMN05222260	20155172
SAMN05222261	20155173
SAMN05222262	20155175
SAMN05222263	20155176
SAMN05222264	20155177
SAMN05222265	20155178
SAMN05222266	20155179
SAMN05222267	20155180
SAMN05222268	20155181
SAMN05222269	20155182
SAMN05222270	20155183
SAMN05222271	20155184
SAMN05222272	20155185
SAMN05222273	20155186
SAMN05222274	20155187
SAMN05222275	20155190
SAMN05222276	20155191
SAMN05222277	20155192
SAMN05222278	20155246
SAMN05222279	20155247
SAMN05222280	20155248
SAMN05222281	20155249
SAMN05222282	20155250
SAMN05222283	20155251
SAMN05222284	20155252
SAMN05222285	20155253
SAMN05222286	20155254
SAMN05222287	20155255
SAMN05222288	20155256
SAMN05222289	20155257
SAMN05222290	20155258
SAMN05222291	20155259
SAMN05222292	20155260
SAMN05222293	20155277
SAMN05222294	20155279
SAMN05222295	20155280
SAMN05222296	20155281
SAMN05222297	20155282
SAMN05222298	20155283
SAMN05222299	20155284
SAMN05222300	20155285
